idx,smiles
2507,CNC(CO)C#N
80304,OC1C2CC1C(=O)CC2
45014,O=C1OC2CNC2C1=O
4388,OC1=NC=NC(=N)N1
47795,O=CC(CC#C)C1CN1
29570,CN1C=CC(O)=NC1=O
87096,CC1NC11COCC1O
34518,C#CC1C2OC3CN1C23
83708,CC1C=CC=CCC1=O
121708,CCCOCCOCC
456,OC1CC=CC1
104240,CC1CCC1(CO)C#N
84165,CC1CC(=O)N1CC#C
2229,NC12CC1OC2=N
42919,O=C1C=CC=CC2OC12
85564,CC1CC(C2CO2)C1C
1279,CCCCC(C)C
31879,CNC1=NC=CNC1=O
128838,O=C(C#C)C1=NON=C1
77032,CC1OC2(C=O)C(O)C12
55933,OC(C#N)C1(CN1)C=O
76073,NC1C(CC#N)NC1=O
131139,CN1C=NC(F)=CC1=N
60071,CC(C=O)N1CC(C)C1
41542,C1OC2CCOC3C1C23
126938,COC1=C(ON=C1)C#C
57221,CC(N)C(C#N)N1CC1
5005,N=C1N=CC=CC=N1
94122,OC1CCC2CC3C2C13
110978,CCC1OC(=O)NC1=N
74679,CC1C(=O)C2(C)OC12C
98504,CCN(C(C)=O)C(N)=O
1612,CC(O)C(C)C=O
65975,CC12C3CC(C)(C13)C2=O
27526,CC1=CC(O)=CC(O)=C1
96062,CN=C1CC=CCCO1
71925,OC12CNC1C(C2)C#N
83893,OC1C=CCCC2NC12
89984,OC1CC2C3NC3C2C1
116882,CCCC(C=O)C1CC1
125910,CN1N=C(N=C1N)C#C
46491,O=C1COC2CC3C2C13
92669,CC1=CC=CC(O)CC1
129983,OCC1=NC(=N)ON=C1
30158,NC=NC1=NC=C(N)O1
83354,CC1C=CC(C)C11CC1
62828,CC1(C)OC2C(C#C)C12
114576,CCC1OCC=C1CO
102599,CCC1(O)CC2(CC2)C1
21868,ON=C1CC(O)(C1)C=O
47307,O=C1CCCCC1C#C
30857,COC1=C(CO)N=CN1
43570,O=C1NC23CC4C2C1C34
87292,CC(N)(C#N)C1CC1O
13125,C#CCC1CC=CC1
36651,C1C2N1C1(CC1)C21CO1
25725,OC(C#N)C1=NC=CN1
49036,O=CC1C2CC1(N2)C#N
3231,C1OCC=CC=C1
90977,OC1CC2NC2CC1=O
81817,CN1C2CN3CC1(C)C23
61078,NC(=O)NCC(O)C#N
74015,CC1=CC2OCC1C2=O
86691,OC1CC11CC(O1)C=O
99665,CC(CO)C1(O)CC1C
24728,O=C1OC=C(O1)C1CN1
131839,CC(CC(F)(F)F)C#C
58456,CC(C)C1CC(=O)C1O
1661,COC(C)C(N)=O
118846,CCCC1C=CC2OC12
129899,OCC(O)C1=NOC=C1
42870,O=C1C=CC2CC12C#C
52706,CC#CC1C2OC2C1C
45319,O=C1CN=CN1CC#C
1554,CCC(O)COC
122606,CC#CC1=NN(C)N=N1
128791,O1N=CC2=C1N=CC=N2
16597,CC1=CC(=O)C2OC12
2133,CC1COCC1=O
86129,CN1CC1(C)CC(N)=O
122544,C1OCC2=C(O1)C=NN2
37410,C1C2C3OC4C3CN2C14
125016,CCCCN1N=CC=N1
128167,NC1=C2ON=NC2=CN1
74331,CC1=CCC2C3CC3C12
54846,CC(=O)NC(=N)CC#N
18030,CCC1=CCC2CC12
87223,CN1CC1C(=O)C1CO1
23054,CC12OC3C(C13)C2=NO
25891,CC(O)C1=CC=C(C)N1
72745,CC12CCOC1OCC2
118607,OCCC1C2C3CC3C12
113451,COC1CC2COC2C1
27774,NC1=NC2=C(N1)N=CN2
84287,CC1NC(=O)C2CCC12
65853,CC12C3C4C5C(C15)N2C34
122520,C1OCC1C1=CN=NO1
82205,CN1C2COC(C#N)C12
124451,CC1COC2=CON=C12
87985,CC1OC1COC1CC1
34950,N#CC1OC2C3NC2C13
26107,CN(C=N)C1=COC=C1
77288,CC1C2N1C1C(C)C21C
43620,O=C1CC23CNC2C1O3
92110,CC1COC(=O)C(N)=N1
66991,CC12CC(=O)C1N2C=O
68179,CC12CCCC1(N2)C=O
120531,CCC(CCOC)C#N
37887,C1C2OC1C21CC=CC1
126122,CN1N=NC(=O)N=C1C
93626,OC1COC2(CC12)C#C
73496,CC1=CC2(O)CCC2C1
126377,CN=C1OC(O)=NN1C
60730,CC(CC1CCC1)C#C
40590,C1OC23C1CC21CC3O1
